n_estimators,max_depth,min_samples_leaf,f1_macro,accuracy,f1_weighted,precision_macro,recall_macro
200,15,1,0.6791343910528355,0.8013781494923992,0.8312291652864674,0.6851149303571866,0.7347293953030914
400,15,1,0.6786539087493534,0.8013781494923992,0.8315920439333707,0.6850816751869762,0.7331561841130936
400,25,1,0.6780691242970874,0.807216874441113,0.8373687298458016,0.714703727418887,0.6825758874757383
200,25,1,0.6776859574152461,0.8075850823207616,0.8378116801224945,0.714325363628479,0.681504978181486
200,25,5,0.6688522220774735,0.7990636999631792,0.8322643197962634,0.6649954699677869,0.7290919308461182
400,25,5,0.6681229113887945,0.7987480932091947,0.8318468326160634,0.6640181851063631,0.7292102972083202
200,15,5,0.6644234208341657,0.7932249750144653,0.8237186610609569,0.6558354436485807,0.7481099727696757
400,15,5,0.6639207876275348,0.7931197727631372,0.8237111799297533,0.6552850472346936,0.7473394312051005
