n_estimators,max_depth,learning_rate,subsample,colsample_bytree,f1,precision,recall
300,6,0.1,0.8,0.8,0.9566356081591538,0.9176288709599496,0.9991057808637104
300,6,0.05,0.8,0.8,0.9540206806545528,0.9123025968415496,0.9997369943716796
150,6,0.1,0.8,0.8,0.9538531028079597,0.9119961612284068,0.9997369943716796
300,4,0.1,0.8,0.8,0.9535875564475664,0.9115545110077222,0.9996843932460154
150,6,0.05,0.8,0.8,0.9530208072198546,0.9103884285645863,0.9998421966230078
300,4,0.05,0.8,0.8,0.952781954887218,0.909952606635071,0.9998421966230078
150,4,0.1,0.8,0.8,0.952781954887218,0.909952606635071,0.9998421966230078
150,4,0.05,0.8,0.8,0.9507778500325146,0.906346859949454,0.9997895954973436
