n_estimators,max_samples,contamination,f1,precision,recall
400,0.8,0.05,0.7718693200354196,0.6928837384428733,0.8711798432486455
200,0.8,0.05,0.7645523605350235,0.6863155252478769,0.8629214665193835
400,0.8,0.1,0.5690467994672015,0.39766974856712545,1.0
200,0.8,0.1,0.5690467994672015,0.39766974856712545,1.0
400,auto,0.1,0.4772737476989389,0.3335355394720328,0.8387249487139025
200,auto,0.1,0.4769145576724486,0.3332845249550266,0.8380937352059334
200,auto,0.05,0.4009320750320401,0.3598979250334672,0.45252748408815946
400,auto,0.05,0.3644498298923428,0.32715558716479104,0.41134080269317763
